7,13,20,38,514.23,6517.4,378.35,753.19
5,13,20,38,250.91,6546.9,462.32,811.4
13,20,38,87,6520.8,488.32,768.44,272.23
13,38,87,10152,6686.7,745.35,244.1,244.1
7,13,19,38,431.13,6563.4,519.59,973.43
7,13,19,38,581.09,6662,502.64,907.11
7,13,19,38,524.69,6565.5,559.8,1017.3
7,13,19,38,601.11,6517,560.14,825.03
7,13,20,38,459.11,6558.4,375.53,761.5
7,13,20,38,336.57,6464.4,491.41,876.46
5,13,20,38,301.57,6645,400.57,764.36
7,13,20,38,355,6580,408.05,877.02
7,13,38,10192,417.9,6670.2,687.89,687.89
7,13,19,38,617.88,6717.3,512.26,808.01
7,13,19,38,468.96,6631.8,584.49,922.19
7,13,19,38,586.1,6725.9,456.4,923.9
7,13,19,38,394.56,6550.9,456.79,1003.6
13,20,38,10187,6656.6,361.93,761.3,761.3
13,20,38,87,6600.5,466.24,829.94,249.39
13,20,38,10185,6626,454.49,728.65,728.65
7,13,19,38,509.17,6713,388.35,751.79
7,13,19,38,471.74,6627.8,548.29,812.8
7,13,19,38,685.35,6795.2,510.37,746.41
7,13,19,38,458.08,6711.9,549.85,960.82
7,13,19,38,533.56,6778.7,450.02,864.13
13,20,38,10179,6748,372.78,903.38,903.38
13,20,38,87,6654.3,446.63,807.33,247.95
5,13,20,38,286.28,6729.7,375.76,741.36
7,13,20,38,402.94,6596.7,409.14,870.04
7,13,19,38,523.01,6721.1,430.58,722.45
7,13,19,38,622.61,6694.6,582.17,786.64
7,13,19,38,620.44,6771.6,567.83,676.6
7,13,19,38,518.39,6855,419.01,755.12
7,13,38,62,369.55,6784.1,922.98,282.02
6,13,20,38,302.03,6886.2,328.87,860.93
13,20,38,62,6724.4,440.46,944.25,273.28
6,13,20,38,236.33,6749,400.66,703.96
7,13,19,38,595.73,6721.2,475.77,757.77
7,13,19,38,525.42,6676,554.52,713.36
7,13,19,38,727.02,6803.8,554.93,701.83
7,13,19,38,532,6749.3,584.56,794.92
7,13,19,38,544.72,6932.4,390.76,695.67
13,20,38,10162,6876.9,370.11,879.66,879.66
13,20,38,10161,6907,364.17,802.21,802.21
6,13,20,38,273.5,6897.7,331.85,836.23
7,13,20,38,295.42,6741.4,386.97,780.67
7,13,19,38,636.49,6802.1,500.48,712.45
7,13,19,38,610.38,6679.7,643.26,816.9
7,13,19,38,709.02,6800.6,574.53,666.44
7,13,19,38,495.38,6825.4,463.33,711.91
7,13,19,38,469.42,6892.4,383.31,645.42
6,13,20,38,260.83,6999.3,318.02,694.43
13,20,38,62,6906.5,388.32,872.48,318.41
6,13,20,38,266.78,6967.8,303.63,803.41
7,13,19,38,434.73,6819,492.17,876.01
7,13,19,38,572.48,6803.5,562.78,662.67
7,13,19,38,729.82,6808.4,607.96,688.43
7,13,19,38,647.31,6779.3,611.37,675.52
7,13,19,38,526.65,6929.4,372.29,638.54
7,13,20,38,330.09,6894,367.31,739.72
6,13,20,38,248.67,7053,308.65,626.72
13,20,38,10143,7012.8,314.15,786.7,786.7
13,20,38,10142,7001.9,304.59,729.22,729.22
7,13,19,38,531.97,6992.7,502.25,778.75
7,13,19,38,509.12,6837.4,627.42,738.9
7,13,19,38,736.84,6902.2,567.16,653.78
7,13,19,38,534.02,6804.8,533.43,747.37
7,13,19,38,491.97,6943.5,362.29,616.93
13,20,38,62,6966.3,341.87,664.02,235.81
13,20,38,62,7015.4,337.58,569.24,248.1
13,19,38,62,7097.9,290.59,637.4,271.52
7,13,19,38,313.85,7006.4,412.93,775.14
7,13,19,38,506.71,7047.9,474.9,737.45
7,13,19,38,475.06,6903.1,589.06,812.55
7,13,19,38,633.65,6917.2,561.97,629.15
7,13,19,38,466.54,6904.6,381.72,627.23
7,13,19,38,446.09,6909.2,313.2,593.81
13,20,38,62,7014.7,294.16,581.58,269.68
7,13,20,38,274.11,6958.5,327.59,655.82
7,13,19,38,393.46,7085.2,318.51,564.31
