6,13,20,26,38,62,281.75,6560.6,286.96,199.5,780.91,183.79
7,13,25,27,31,38,378.41,6494.7,200.93,108,104.84,830.59
7,13,25,27,31,38,374.41,6458.8,212.88,136.21,139.36,705
7,13,21,26,32,38,489.38,6505.9,178.02,180.19,106.14,769.93
7,13,26,38,62,87,360.63,6456.9,218.11,779.01,177.88,244.45
13,25,38,62,87,10150,6599,166.35,742.92,204.08,203.77,203.77
13,20,27,31,33,38,6521.3,344.51,159.39,141.62,103.73,846
6,13,20,26,32,38,320.54,6669.3,264.71,137.98,113.5,788.98
6,13,20,26,38,50,133.65,6541.8,360.15,185.29,949.25,102.68
6,13,20,27,38,62,302.44,6634.8,265.15,106.8,784.97,220.78
7,13,32,38,62,87,289.26,6508,106.58,863.04,198.01,227.58
7,13,26,31,38,62,392.7,6575.8,145.83,126.49,705.35,200.59
7,13,21,27,32,38,428.04,6544.6,207.24,118.82,101.19,819.89
7,13,31,38,62,87,413.43,6569.8,126.51,717.92,167.36,177.7
7,13,26,32,38,62,368.56,6660,151.93,104.24,740.91,200.96
13,31,38,62,87,10140,6628.6,141.27,760.67,187,225.53,225.53
6,13,20,25,32,38,301.27,6736.2,270.42,171.2,112.49,781.77
6,13,20,32,38,44,134.64,6617.1,349.81,128.67,874.53,122.86
6,13,20,26,38,62,306.52,6714.3,238.87,152.41,769.53,231.97
13,25,32,38,45,62,6551.7,206.93,125.5,838.04,107.16,281.43
7,13,25,38,62,87,403.16,6646.4,185.25,714.19,225.22,191.99
7,13,19,26,38,62,349.17,6561.2,401.56,174.77,855.83,208.47
7,13,19,26,31,38,437.99,6662.7,352.27,174.16,117.03,692.17
7,13,25,27,32,38,315.1,6664.6,171.99,117.87,107.15,767.33
7,13,25,27,31,38,325.99,6709.6,182.3,123.67,121.5,696.51
6,13,20,26,32,38,262.69,6746.4,276.35,147.66,121.02,774.09
6,13,20,26,32,38,189.75,6689.6,322.62,181.09,154.79,742.95
6,13,20,25,38,62,288.54,6739.9,242.33,134.37,728.07,237.66
6,13,20,25,32,38,139.34,6602.8,303.8,190.62,137.14,733
7,13,38,62,87,10126,396.33,6701.4,700.17,216.48,164.6,164.6
7,13,25,38,45,62,281.49,6605.4,190.36,809.99,100.03,279.47
3,7,13,19,25,38,253.81,429.15,6623.9,323,129,635.77
7,13,26,32,38,62,274.38,6526.9,174.21,106.21,752.46,245.13
